layer	projection	null	actual_red	null_red	delta_pp
10	Q	cross_out	0.4584	0.4587	-0.03
10	K	uniform	0.4606	0.3995	6.10
10	K	proj_hist	0.4606	0.4657	-0.51
10	K	tile_hist	0.4606	0.4642	-0.36
10	K	cross_out	0.4606	0.4618	-0.12
10	V	uniform	0.4678	0.3977	7.01
10	V	proj_hist	0.4678	0.4675	0.03
10	V	tile_hist	0.4678	0.4705	-0.26
10	V	cross_out	0.4678	0.4683	-0.04
10	O	uniform	0.4565	0.3991	5.74
10	O	proj_hist	0.4565	0.4576	-0.10
10	O	tile_hist	0.4565	0.4604	-0.38
10	O	cross_out	0.4565	0.4579	-0.13
10	Gate	uniform	0.4557	0.3983	5.74
10	Gate	proj_hist	0.4557	0.4610	-0.53
10	Gate	tile_hist	0.4557	0.4604	-0.48
10	Gate	cross_out	0.4557	0.4571	-0.14
10	Up	uniform	0.4541	0.3981	5.60
10	Up	proj_hist	0.4541	0.4611	-0.70
10	Up	tile_hist	0.4541	0.4612	-0.71
10	Up	cross_out	0.4541	0.4586	-0.45
10	Down	uniform	0.4559	0.3977	5.82
10	Down	proj_hist	0.4559	0.4611	-0.52
10	Down	tile_hist	0.4559	0.4601	-0.42
10	Down	cross_out	0.4559	0.4584	-0.26
11	Q	uniform	0.4602	0.3975	6.27
11	Q	proj_hist	0.4602	0.4606	-0.04
11	Q	tile_hist	0.4602	0.4626	-0.24
11	Q	cross_out	0.4602	0.4592	0.10
11	K	uniform	0.4626	0.3967	6.59
11	K	proj_hist	0.4626	0.4634	-0.07
11	K	tile_hist	0.4626	0.4630	-0.03
11	K	cross_out	0.4626	0.4628	-0.02
11	V	uniform	0.4618	0.3965	6.52
11	V	proj_hist	0.4618	0.4642	-0.24
11	V	tile_hist	0.4618	0.4671	-0.53
11	V	cross_out	0.4618	0.4645	-0.27
11	O	uniform	0.4568	0.3989	5.79
11	O	proj_hist	0.4568	0.4579	-0.11
11	O	tile_hist	0.4568	0.4612	-0.44
11	O	cross_out	0.4568	0.4606	-0.38
11	Gate	uniform	0.4531	0.3971	5.60
11	Gate	proj_hist	0.4531	0.4617	-0.85
11	Gate	tile_hist	0.4531	0.4595	-0.63
11	Gate	cross_out	0.4531	0.4553	-0.22
11	Up	uniform	0.4610	0.3975	6.35
11	Up	proj_hist	0.4610	0.4630	-0.20
11	Up	tile_hist	0.4610	0.4645	-0.35
11	Up	cross_out	0.4610	0.4626	-0.16
11	Down	uniform	0.4561	0.3985	5.76
11	Down	proj_hist	0.4561	0.4620	-0.59
11	Down	tile_hist	0.4561	0.4617	-0.56
11	Down	cross_out	0.4561	0.4572	-0.10
12	Q	uniform	0.4702	0.3970	7.32
12	Q	proj_hist	0.4702	0.4617	0.85
12	Q	tile_hist	0.4702	0.4710	-0.09
12	Q	cross_out	0.4702	0.4679	0.23
12	K	uniform	0.4575	0.3986	5.88
12	K	proj_hist	0.4575	0.4606	-0.31
12	K	tile_hist	0.4575	0.4620	-0.46
12	K	cross_out	0.4575	0.4598	-0.24
12	V	uniform	0.4674	0.3972	7.03
12	V	proj_hist	0.4674	0.4653	0.21
12	V	tile_hist	0.4674	0.4672	0.02
12	V	cross_out	0.4674	0.4656	0.18
12	O	uniform	0.4526	0.3982	5.44
12	O	proj_hist	0.4526	0.4582	-0.56
12	O	tile_hist	0.4526	0.4561	-0.35
12	O	cross_out	0.4526	0.4536	-0.10
12	Gate	uniform	0.4539	0.3976	5.62
12	Gate	proj_hist	0.4539	0.4614	-0.76
12	Gate	tile_hist	0.4539	0.4576	-0.38
12	Gate	cross_out	0.4539	0.4574	-0.35
12	Up	uniform	0.4576	0.3981	5.96
12	Up	proj_hist	0.4576	0.4647	-0.70
12	Up	tile_hist	0.4576	0.4618	-0.42
12	Up	cross_out	0.4576	0.4579	-0.03
12	Down	uniform	0.4597	0.3985	6.12
12	Down	proj_hist	0.4597	0.4627	-0.30
12	Down	tile_hist	0.4597	0.4659	-0.62
12	Down	cross_out	0.4597	0.4636	-0.39
13	Q	uniform	0.4618	0.3971	6.47
13	Q	proj_hist	0.4618	0.4625	-0.07
13	Q	tile_hist	0.4618	0.4623	-0.05
13	Q	cross_out	0.4618	0.4592	0.26
13	K	uniform	0.4545	0.3983	5.62
13	K	proj_hist	0.4545	0.4628	-0.83
13	K	tile_hist	0.4545	0.4578	-0.34
13	K	cross_out	0.4545	0.4562	-0.18
13	V	uniform	0.4567	0.3978	5.90
13	V	proj_hist	0.4567	0.4622	-0.55
13	V	tile_hist	0.4567	0.4609	-0.42
13	V	cross_out	0.4567	0.4579	-0.12
13	O	uniform	0.4525	0.3963	5.62
13	O	proj_hist	0.4525	0.4587	-0.63
13	O	tile_hist	0.4525	0.4569	-0.45
13	O	cross_out	0.4525	0.4539	-0.14
13	Gate	uniform	0.4717	0.3978	7.39
13	Gate	proj_hist	0.4717	0.4633	0.85
13	Gate	tile_hist	0.4717	0.4737	-0.20
13	Gate	cross_out	0.4717	0.4727	-0.10
13	Up	uniform	0.4590	0.3977	6.13
13	Up	proj_hist	0.4590	0.4625	-0.35
13	Up	tile_hist	0.4590	0.4644	-0.53
13	Up	cross_out	0.4590	0.4608	-0.18
13	Down	uniform	0.4563	0.3978	5.85
13	Down	proj_hist	0.4563	0.4626	-0.63
13	Down	tile_hist	0.4563	0.4624	-0.61
13	Down	cross_out	0.4563	0.4604	-0.41
14	Q	uniform	0.4644	0.3980	6.64
14	Q	proj_hist	0.4644	0.4648	-0.04
14	Q	tile_hist	0.4644	0.4667	-0.23
14	Q	cross_out	0.4644	0.4634	0.10
14	K	uniform	0.4615	0.3983	6.32
14	K	proj_hist	0.4615	0.4666	-0.50
14	K	tile_hist	0.4615	0.4660	-0.45
14	K	cross_out	0.4615	0.4639	-0.23
14	V	uniform	0.4689	0.3981	7.08
14	V	proj_hist	0.4689	0.4699	-0.10
14	V	tile_hist	0.4689	0.4730	-0.40
14	V	cross_out	0.4689	0.4701	-0.12
14	O	uniform	0.4520	0.3981	5.40
14	O	proj_hist	0.4520	0.4583	-0.62
14	O	tile_hist	0.4520	0.4591	-0.71
14	O	cross_out	0.4520	0.4539	-0.18
14	Gate	uniform	0.4633	0.3981	6.52
14	Gate	proj_hist	0.4633	0.4636	-0.03
14	Gate	tile_hist	0.4633	0.4661	-0.28
14	Gate	cross_out	0.4633	0.4636	-0.02
14	Up	uniform	0.4601	0.3976	6.25
14	Up	proj_hist	0.4601	0.4618	-0.16
14	Up	tile_hist	0.4601	0.4631	-0.29
14	Up	cross_out	0.4601	0.4609	-0.07
14	Down	uniform	0.4575	0.3971	6.04
14	Down	proj_hist	0.4575	0.4628	-0.54
14	Down	tile_hist	0.4575	0.4610	-0.35
14	Down	cross_out	0.4575	0.4588	-0.13
15	Q	uniform	0.4572	0.3982	5.90
15	Q	proj_hist	0.4572	0.4610	-0.38
15	Q	tile_hist	0.4572	0.4585	-0.13
15	Q	cross_out	0.4572	0.4568	0.04
15	K	uniform	0.4611	0.3972	6.40
15	K	proj_hist	0.4611	0.4627	-0.16
15	K	tile_hist	0.4611	0.4653	-0.42
15	K	cross_out	0.4611	0.4619	-0.08
15	V	uniform	0.4733	0.3984	7.50
15	V	proj_hist	0.4733	0.4710	0.23
15	V	tile_hist	0.4733	0.4745	-0.12
15	V	cross_out	0.4733	0.4732	0.01
15	O	uniform	0.4493	0.3983	5.10
15	O	proj_hist	0.4493	0.4573	-0.80
15	O	tile_hist	0.4493	0.4566	-0.73
15	O	cross_out	0.4493	0.4521	-0.29
15	Gate	uniform	0.4584	0.3980	6.04
15	Gate	proj_hist	0.4584	0.4614	-0.30
15	Gate	tile_hist	0.4584	0.4612	-0.27
15	Gate	cross_out	0.4584	0.4598	-0.14
15	Up	uniform	0.4631	0.3975	6.56
15	Up	proj_hist	0.4631	0.4637	-0.07
15	Up	tile_hist	0.4631	0.4689	-0.58
15	Up	cross_out	0.4631	0.4664	-0.34
15	Down	uniform	0.4595	0.3985	6.10
15	Down	proj_hist	0.4595	0.4613	-0.18
15	Down	tile_hist	0.4595	0.4647	-0.52
15	Down	cross_out	0.4595	0.4627	-0.32
16	Q	uniform	0.4614	0.3970	6.45
16	Q	proj_hist	0.4614	0.4617	-0.03
16	Q	tile_hist	0.4614	0.4641	-0.27
16	Q	cross_out	0.4614	0.4613	0.01
16	K	uniform	0.4549	0.3994	5.55
16	K	proj_hist	0.4549	0.4631	-0.82
16	K	tile_hist	0.4549	0.4584	-0.35
16	K	cross_out	0.4549	0.4558	-0.09
16	V	uniform	0.4715	0.3976	7.39
16	V	proj_hist	0.4715	0.4678	0.37
16	V	tile_hist	0.4715	0.4747	-0.32
16	V	cross_out	0.4715	0.4736	-0.21
16	O	uniform	0.4528	0.3987	5.41
16	O	proj_hist	0.4528	0.4584	-0.56
16	O	tile_hist	0.4528	0.4560	-0.32
16	O	cross_out	0.4528	0.4529	-0.01
16	Gate	uniform	0.4607	0.3975	6.32
16	Gate	proj_hist	0.4607	0.4608	-0.01
16	Gate	tile_hist	0.4607	0.4637	-0.31
16	Gate	cross_out	0.4607	0.4626	-0.20
16	Up	uniform	0.4552	0.3973	5.79
16	Up	proj_hist	0.4552	0.4608	-0.56
16	Up	tile_hist	0.4552	0.4592	-0.40
16	Up	cross_out	0.4552	0.4564	-0.12
16	Down	uniform	0.4602	0.3990	6.12
16	Down	proj_hist	0.4602	0.4609	-0.07
16	Down	tile_hist	0.4602	0.4664	-0.62
16	Down	cross_out	0.4602	0.4628	-0.26
17	Q	uniform	0.4565	0.3983	5.82
17	Q	proj_hist	0.4565	0.4617	-0.51
17	Q	tile_hist	0.4565	0.4586	-0.20
17	Q	cross_out	0.4565	0.4569	-0.04
17	K	uniform	0.4529	0.3971	5.58
17	K	proj_hist	0.4529	0.4636	-1.07
17	K	tile_hist	0.4529	0.4584	-0.54
17	K	cross_out	0.4529	0.4546	-0.16
17	V	uniform	0.4598	0.3973	6.25
17	V	proj_hist	0.4598	0.4646	-0.48
17	V	tile_hist	0.4598	0.4614	-0.16
17	V	cross_out	0.4598	0.4611	-0.12
17	O	uniform	0.4522	0.3987	5.35
17	O	proj_hist	0.4522	0.4579	-0.57
17	O	tile_hist	0.4522	0.4572	-0.49
17	O	cross_out	0.4522	0.4543	-0.21
17	Gate	uniform	0.4573	0.3964	6.09
17	Gate	proj_hist	0.4573	0.4594	-0.21
17	Gate	tile_hist	0.4573	0.4606	-0.34
17	Gate	cross_out	0.4573	0.4586	-0.13
17	Up	uniform	0.4634	0.3978	6.56
17	Up	proj_hist	0.4634	0.4602	0.32
17	Up	tile_hist	0.4634	0.4698	-0.64
17	Up	cross_out	0.4634	0.4674	-0.40
17	Down	uniform	0.4552	0.3979	5.73
17	Down	proj_hist	0.4552	0.4600	-0.48
17	Down	tile_hist	0.4552	0.4604	-0.52
17	Down	cross_out	0.4552	0.4561	-0.09
18	Q	uniform	0.4620	0.3971	6.49
18	Q	proj_hist	0.4620	0.4607	0.13
18	Q	tile_hist	0.4620	0.4644	-0.24
18	Q	cross_out	0.4620	0.4630	-0.10
18	K	uniform	0.4547	0.3979	5.67
18	K	proj_hist	0.4547	0.4640	-0.93
18	K	tile_hist	0.4547	0.4584	-0.38
18	K	cross_out	0.4547	0.4556	-0.09
18	V	uniform	0.4761	0.3967	7.94
18	V	proj_hist	0.4761	0.4711	0.50
18	V	tile_hist	0.4761	0.4775	-0.14
18	V	cross_out	0.4761	0.4741	0.20
18	O	uniform	0.4539	0.3980	5.58
18	O	proj_hist	0.4539	0.4575	-0.37
18	O	tile_hist	0.4539	0.4614	-0.75
18	O	cross_out	0.4539	0.4574	-0.35
18	Gate	uniform	0.4591	0.3979	6.12
18	Gate	proj_hist	0.4591	0.4597	-0.06
18	Gate	tile_hist	0.4591	0.4630	-0.39
18	Gate	cross_out	0.4591	0.4615	-0.24
18	Up	uniform	0.4559	0.3974	5.85
18	Up	proj_hist	0.4559	0.4593	-0.34
18	Up	tile_hist	0.4559	0.4588	-0.29
18	Up	cross_out	0.4559	0.4578	-0.20
18	Down	uniform	0.4578	0.3977	6.01
18	Down	proj_hist	0.4578	0.4602	-0.24
18	Down	tile_hist	0.4578	0.4617	-0.38
18	Down	cross_out	0.4578	0.4592	-0.13
19	Q	uniform	0.4541	0.3956	5.85
19	Q	proj_hist	0.4541	0.4603	-0.62
19	Q	tile_hist	0.4541	0.4586	-0.45
19	Q	cross_out	0.4541	0.4550	-0.09
19	K	uniform	0.4659	0.3977	6.82
19	K	proj_hist	0.4659	0.4641	0.18
19	K	tile_hist	0.4659	0.4647	0.13
19	K	cross_out	0.4659	0.4639	0.20
19	V	uniform	0.4813	0.3968	8.45
19	V	proj_hist	0.4813	0.4670	1.43
19	V	tile_hist	0.4813	0.4807	0.07
19	V	cross_out	0.4813	0.4794	0.19
19	O	uniform	0.4652	0.3979	6.73
19	O	proj_hist	0.4652	0.4596	0.56
19	O	tile_hist	0.4652	0.4641	0.12
19	O	cross_out	0.4652	0.4624	0.28
19	Gate	uniform	0.4527	0.3975	5.52
19	Gate	proj_hist	0.4527	0.4578	-0.51
19	Gate	tile_hist	0.4527	0.4592	-0.65
19	Gate	cross_out	0.4527	0.4557	-0.30
19	Up	uniform	0.4556	0.3981	5.76
19	Up	proj_hist	0.4556	0.4597	-0.41
19	Up	tile_hist	0.4556	0.4578	-0.22
19	Up	cross_out	0.4556	0.4551	0.05
19	Down	uniform	0.4539	0.3975	5.65
19	Down	proj_hist	0.4539	0.4595	-0.56
19	Down	tile_hist	0.4539	0.4566	-0.27
19	Down	cross_out	0.4539	0.4564	-0.25
20	Q	uniform	0.4585	0.3980	6.05
20	Q	proj_hist	0.4585	0.4620	-0.35
20	Q	tile_hist	0.4585	0.4627	-0.42
20	Q	cross_out	0.4585	0.4588	-0.03
20	K	uniform	0.4709	0.3973	7.35
20	K	proj_hist	0.4709	0.4662	0.46
