layer	projection	null	actual_red	null_red	delta_pp
9	Up	uniform	0.4563	0.3978	5.85
9	Up	sampled_proj_hist	0.4563	0.4609	-0.46
9	Up	tile_hist	0.4563	0.4593	-0.30
9	Up	cross_out	0.4563	0.4570	-0.07
10	Q	uniform	0.4584	0.3979	6.04
10	Q	sampled_proj_hist	0.4584	0.4643	-0.59
10	Q	tile_hist	0.4584	0.4614	-0.30
10	Q	cross_out	0.4584	0.4581	0.03
10	K	uniform	0.4606	0.3996	6.10
10	K	sampled_proj_hist	0.4606	0.4637	-0.32
10	K	tile_hist	0.4606	0.4633	-0.27
10	K	cross_out	0.4606	0.4624	-0.18
10	V	uniform	0.4678	0.3969	7.09
10	V	sampled_proj_hist	0.4678	0.4676	0.02
10	V	tile_hist	0.4678	0.4702	-0.24
10	V	cross_out	0.4678	0.4688	-0.09
10	O	uniform	0.4565	0.3994	5.71
10	O	sampled_proj_hist	0.4565	0.4577	-0.12
10	O	tile_hist	0.4565	0.4607	-0.42
10	O	cross_out	0.4565	0.4572	-0.06
10	Gate	uniform	0.4557	0.3985	5.72
10	Gate	sampled_proj_hist	0.4557	0.4607	-0.50
10	Gate	tile_hist	0.4557	0.4597	-0.40
10	Gate	cross_out	0.4557	0.4578	-0.21
10	Down	uniform	0.4509	0.3984	5.25
10	Down	sampled_proj_hist	0.4509	0.4606	-0.98
10	Down	tile_hist	0.4509	0.4570	-0.62
10	Down	cross_out	0.4509	0.4547	-0.38
10	Up	uniform	0.4544	0.3972	5.72
10	Up	sampled_proj_hist	0.4544	0.4608	-0.63
10	Up	tile_hist	0.4544	0.4579	-0.35
10	Up	cross_out	0.4544	0.4561	-0.16
11	Q	uniform	0.4602	0.3972	6.30
11	Q	sampled_proj_hist	0.4602	0.4618	-0.16
11	Q	tile_hist	0.4602	0.4622	-0.20
11	Q	cross_out	0.4602	0.4584	0.18
11	K	uniform	0.4626	0.3970	6.57
11	K	sampled_proj_hist	0.4626	0.4633	-0.06
11	K	tile_hist	0.4626	0.4645	-0.18
11	K	cross_out	0.4626	0.4615	0.12
11	V	uniform	0.4618	0.3975	6.43
11	V	sampled_proj_hist	0.4618	0.4639	-0.21
11	V	tile_hist	0.4618	0.4667	-0.49
11	V	cross_out	0.4618	0.4647	-0.29
11	O	uniform	0.4568	0.3990	5.79
11	O	sampled_proj_hist	0.4568	0.4589	-0.21
11	O	tile_hist	0.4568	0.4641	-0.72
11	O	cross_out	0.4568	0.4612	-0.44
11	Gate	uniform	0.4531	0.3975	5.56
11	Gate	sampled_proj_hist	0.4531	0.4620	-0.89
11	Gate	tile_hist	0.4531	0.4594	-0.62
11	Gate	cross_out	0.4531	0.4556	-0.25
11	Down	uniform	0.4551	0.3978	5.73
11	Down	sampled_proj_hist	0.4551	0.4622	-0.71
11	Down	tile_hist	0.4551	0.4594	-0.43
11	Down	cross_out	0.4551	0.4555	-0.04
11	Up	uniform	0.4530	0.3990	5.40
11	Up	sampled_proj_hist	0.4530	0.4619	-0.89
11	Up	tile_hist	0.4530	0.4600	-0.70
11	Up	cross_out	0.4530	0.4567	-0.37
12	Q	uniform	0.4702	0.3974	7.28
12	Q	sampled_proj_hist	0.4702	0.4615	0.86
12	Q	tile_hist	0.4702	0.4698	0.04
12	Q	cross_out	0.4702	0.4678	0.23
12	K	uniform	0.4575	0.3983	5.91
12	K	sampled_proj_hist	0.4575	0.4609	-0.34
12	K	tile_hist	0.4575	0.4619	-0.45
12	K	cross_out	0.4575	0.4600	-0.26
12	V	uniform	0.4674	0.3973	7.01
12	V	sampled_proj_hist	0.4674	0.4648	0.26
12	V	tile_hist	0.4674	0.4662	0.12
12	V	cross_out	0.4674	0.4656	0.18
12	O	uniform	0.4526	0.3976	5.50
12	O	sampled_proj_hist	0.4526	0.4578	-0.52
12	O	tile_hist	0.4526	0.4555	-0.29
12	O	cross_out	0.4526	0.4520	0.05
12	Gate	uniform	0.4539	0.3976	5.62
12	Gate	sampled_proj_hist	0.4539	0.4633	-0.94
12	Gate	tile_hist	0.4539	0.4584	-0.45
12	Gate	cross_out	0.4539	0.4563	-0.24
12	Down	uniform	0.4579	0.3973	6.05
12	Down	sampled_proj_hist	0.4579	0.4636	-0.57
12	Down	tile_hist	0.4579	0.4615	-0.37
12	Down	cross_out	0.4579	0.4602	-0.23
12	Up	uniform	0.4577	0.3981	5.96
12	Up	sampled_proj_hist	0.4577	0.4630	-0.53
12	Up	tile_hist	0.4577	0.4631	-0.54
12	Up	cross_out	0.4577	0.4600	-0.23
13	Q	uniform	0.4618	0.3973	6.45
13	Q	sampled_proj_hist	0.4618	0.4611	0.07
13	Q	tile_hist	0.4618	0.4629	-0.11
13	Q	cross_out	0.4618	0.4598	0.20
13	K	uniform	0.4545	0.3981	5.64
13	K	sampled_proj_hist	0.4545	0.4611	-0.66
13	K	tile_hist	0.4545	0.4584	-0.39
13	K	cross_out	0.4545	0.4548	-0.04
13	V	uniform	0.4567	0.3983	5.85
13	V	sampled_proj_hist	0.4567	0.4631	-0.64
13	V	tile_hist	0.4567	0.4598	-0.31
13	V	cross_out	0.4567	0.4574	-0.07
13	O	uniform	0.4525	0.3968	5.57
13	O	sampled_proj_hist	0.4525	0.4576	-0.52
13	O	tile_hist	0.4525	0.4576	-0.52
13	O	cross_out	0.4525	0.4539	-0.14
13	Gate	uniform	0.4717	0.3983	7.34
13	Gate	sampled_proj_hist	0.4717	0.4623	0.95
13	Gate	tile_hist	0.4717	0.4744	-0.27
13	Gate	cross_out	0.4717	0.4722	-0.04
13	Down	uniform	0.4584	0.3986	5.98
13	Down	sampled_proj_hist	0.4584	0.4629	-0.45
13	Down	tile_hist	0.4584	0.4602	-0.18
13	Down	cross_out	0.4584	0.4594	-0.10
13	Up	uniform	0.4627	0.3974	6.53
13	Up	sampled_proj_hist	0.4627	0.4623	0.04
13	Up	tile_hist	0.4627	0.4673	-0.46
13	Up	cross_out	0.4627	0.4645	-0.18
14	Q	uniform	0.4644	0.3975	6.70
14	Q	sampled_proj_hist	0.4644	0.4636	0.09
14	Q	tile_hist	0.4644	0.4689	-0.45
14	Q	cross_out	0.4644	0.4642	0.02
14	K	uniform	0.4615	0.3989	6.27
14	K	sampled_proj_hist	0.4615	0.4657	-0.42
14	K	tile_hist	0.4615	0.4653	-0.38
14	K	cross_out	0.4615	0.4643	-0.27
14	V	uniform	0.4689	0.3973	7.16
14	V	sampled_proj_hist	0.4689	0.4694	-0.05
14	V	tile_hist	0.4689	0.4720	-0.31
14	V	cross_out	0.4689	0.4707	-0.18
14	O	uniform	0.4520	0.3988	5.32
14	O	sampled_proj_hist	0.4520	0.4583	-0.63
14	O	tile_hist	0.4520	0.4590	-0.70
14	O	cross_out	0.4520	0.4526	-0.05
14	Gate	uniform	0.4633	0.3987	6.46
14	Gate	sampled_proj_hist	0.4633	0.4622	0.11
14	Gate	tile_hist	0.4633	0.4650	-0.16
14	Gate	cross_out	0.4633	0.4632	0.01
14	Down	uniform	0.4626	0.3978	6.48
14	Down	sampled_proj_hist	0.4626	0.4625	0.01
14	Down	tile_hist	0.4626	0.4641	-0.15
14	Down	cross_out	0.4626	0.4633	-0.07
14	Up	uniform	0.4661	0.3971	6.90
14	Up	sampled_proj_hist	0.4661	0.4630	0.31
14	Up	tile_hist	0.4661	0.4683	-0.22
14	Up	cross_out	0.4661	0.4652	0.09
15	Q	uniform	0.4572	0.3982	5.90
15	Q	sampled_proj_hist	0.4572	0.4608	-0.35
15	Q	tile_hist	0.4572	0.4583	-0.10
15	Q	cross_out	0.4572	0.4570	0.02
15	K	uniform	0.4611	0.3967	6.44
15	K	sampled_proj_hist	0.4611	0.4613	-0.02
15	K	tile_hist	0.4611	0.4647	-0.36
15	K	cross_out	0.4611	0.4609	0.02
15	V	uniform	0.4733	0.3992	7.41
15	V	sampled_proj_hist	0.4733	0.4716	0.17
15	V	tile_hist	0.4733	0.4746	-0.13
15	V	cross_out	0.4733	0.4730	0.04
15	O	uniform	0.4493	0.3981	5.11
15	O	sampled_proj_hist	0.4493	0.4577	-0.84
15	O	tile_hist	0.4493	0.4567	-0.74
15	O	cross_out	0.4493	0.4529	-0.37
15	Gate	uniform	0.4584	0.3986	5.98
15	Gate	sampled_proj_hist	0.4584	0.4605	-0.21
15	Gate	tile_hist	0.4584	0.4630	-0.46
15	Gate	cross_out	0.4584	0.4597	-0.13
