layer	projection	null	actual_red	null_red	delta_pp
10	Gate	cross_out	0.6479	0.5535	9.45
10	Up	uniform	0.6500	0.3988	25.12
10	Up	proj_hist	0.6500	0.5579	9.21
10	Up	tile_hist	0.6500	0.5569	9.30
10	Up	cross_out	0.6500	0.5570	9.30
10	Down	uniform	0.6481	0.3966	25.15
10	Down	proj_hist	0.6481	0.5560	9.21
10	Down	tile_hist	0.6481	0.5557	9.25
10	Down	cross_out	0.6481	0.5565	9.16
11	Q	uniform	0.6479	0.3978	25.01
11	Q	proj_hist	0.6479	0.5533	9.46
11	Q	tile_hist	0.6479	0.5551	9.28
11	Q	cross_out	0.6479	0.5548	9.31
11	K	uniform	0.6476	0.3980	24.96
11	K	proj_hist	0.6476	0.5463	10.13
11	K	tile_hist	0.6476	0.5535	9.41
11	K	cross_out	0.6476	0.5541	9.35
11	V	uniform	0.6476	0.3986	24.91
11	V	proj_hist	0.6476	0.5610	8.67
11	V	tile_hist	0.6476	0.5554	9.23
11	V	cross_out	0.6476	0.5547	9.30
11	O	uniform	0.6476	0.3982	24.95
11	O	proj_hist	0.6476	0.5569	9.08
11	O	tile_hist	0.6476	0.5562	9.15
11	O	cross_out	0.6476	0.5539	9.38
11	Gate	uniform	0.6490	0.3976	25.13
11	Gate	proj_hist	0.6490	0.5569	9.21
11	Gate	tile_hist	0.6490	0.5557	9.33
11	Gate	cross_out	0.6490	0.5561	9.29
11	Up	uniform	0.6479	0.3982	24.98
11	Up	proj_hist	0.6479	0.5595	8.84
11	Up	tile_hist	0.6479	0.5566	9.14
11	Up	cross_out	0.6479	0.5546	9.33
11	Down	uniform	0.6474	0.3976	24.98
11	Down	proj_hist	0.6474	0.5562	9.12
11	Down	tile_hist	0.6474	0.5533	9.41
11	Down	cross_out	0.6474	0.5535	9.39
12	Q	uniform	0.6475	0.3975	25.00
12	Q	proj_hist	0.6475	0.5574	9.01
12	Q	tile_hist	0.6475	0.5551	9.25
12	Q	cross_out	0.6475	0.5538	9.37
12	K	uniform	0.6492	0.3969	25.23
12	K	proj_hist	0.6492	0.5634	8.58
12	K	tile_hist	0.6492	0.5588	9.04
12	K	cross_out	0.6492	0.5567	9.25
12	V	uniform	0.6489	0.3974	25.15
12	V	proj_hist	0.6489	0.5668	8.21
12	V	tile_hist	0.6489	0.5555	9.34
12	V	cross_out	0.6489	0.5543	9.46
12	O	uniform	0.6472	0.3968	25.04
12	O	proj_hist	0.6472	0.5585	8.87
12	O	tile_hist	0.6472	0.5543	9.30
12	O	cross_out	0.6472	0.5527	9.45
12	Gate	uniform	0.6484	0.3987	24.98
12	Gate	proj_hist	0.6484	0.5557	9.28
12	Gate	tile_hist	0.6484	0.5562	9.23
12	Gate	cross_out	0.6484	0.5539	9.45
12	Up	uniform	0.6462	0.3972	24.91
12	Up	proj_hist	0.6462	0.5555	9.08
12	Up	tile_hist	0.6462	0.5557	9.05
12	Up	cross_out	0.6462	0.5543	9.19
12	Down	uniform	0.6446	0.3976	24.70
12	Down	proj_hist	0.6446	0.5591	8.55
12	Down	tile_hist	0.6446	0.5519	9.27
12	Down	cross_out	0.6446	0.5532	9.14
13	Q	uniform	0.6453	0.3975	24.77
13	Q	proj_hist	0.6453	0.5535	9.18
13	Q	tile_hist	0.6453	0.5529	9.23
13	Q	cross_out	0.6453	0.5513	9.40
13	K	uniform	0.6472	0.3973	24.99
13	K	proj_hist	0.6472	0.5558	9.14
13	K	tile_hist	0.6472	0.5547	9.25
13	K	cross_out	0.6472	0.5538	9.34
13	V	uniform	0.6428	0.3959	24.69
13	V	proj_hist	0.6428	0.5561	8.67
13	V	tile_hist	0.6428	0.5523	9.05
13	V	cross_out	0.6428	0.5493	9.35
13	O	uniform	0.6459	0.3992	24.67
13	O	proj_hist	0.6459	0.5635	8.23
13	O	tile_hist	0.6459	0.5538	9.20
13	O	cross_out	0.6459	0.5530	9.29
13	Gate	uniform	0.6480	0.3979	25.01
13	Gate	proj_hist	0.6480	0.5580	9.00
13	Gate	tile_hist	0.6480	0.5560	9.20
13	Gate	cross_out	0.6480	0.5550	9.30
13	Up	uniform	0.6507	0.3984	25.23
13	Up	proj_hist	0.6507	0.5582	9.25
13	Up	tile_hist	0.6507	0.5570	9.37
13	Up	cross_out	0.6507	0.5568	9.39
13	Down	uniform	0.6435	0.3987	24.48
13	Down	proj_hist	0.6435	0.5547	8.88
13	Down	tile_hist	0.6435	0.5519	9.16
13	Down	cross_out	0.6435	0.5526	9.09
14	Q	uniform	0.6485	0.3979	25.05
14	Q	proj_hist	0.6485	0.5571	9.14
14	Q	tile_hist	0.6485	0.5563	9.22
14	Q	cross_out	0.6485	0.5557	9.28
14	K	uniform	0.6511	0.3976	25.35
14	K	proj_hist	0.6511	0.5646	8.65
14	K	tile_hist	0.6511	0.5575	9.36
14	K	cross_out	0.6511	0.5569	9.42
14	V	uniform	0.6457	0.3973	24.84
14	V	proj_hist	0.6457	0.5478	9.79
14	V	tile_hist	0.6457	0.5534	9.23
14	V	cross_out	0.6457	0.5527	9.30
14	O	uniform	0.6478	0.3980	24.98
14	O	proj_hist	0.6478	0.5654	8.24
14	O	tile_hist	0.6478	0.5569	9.08
14	O	cross_out	0.6478	0.5562	9.16
14	Gate	uniform	0.6474	0.3981	24.93
14	Gate	proj_hist	0.6474	0.5562	9.12
14	Gate	tile_hist	0.6474	0.5561	9.13
14	Gate	cross_out	0.6474	0.5540	9.34
14	Up	uniform	0.6469	0.3972	24.97
14	Up	proj_hist	0.6469	0.5543	9.26
14	Up	tile_hist	0.6469	0.5557	9.11
14	Up	cross_out	0.6469	0.5556	9.12
14	Down	uniform	0.5075	0.3992	10.83
14	Down	proj_hist	0.5075	0.4926	1.49
14	Down	tile_hist	0.5075	0.4993	0.82
14	Down	cross_out	0.5075	0.4952	1.23
