# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLchk	16	2048	-	wall=0.2153s stepsum=0.2153s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	2048	0	0.042345000
PLff	24	2048	0	0.046313000
PLatt	24	2048	1	0.042318000
PLff	24	2048	1	0.042624000
PLatt	24	2048	2	0.034447000
PLff	24	2048	2	0.047456000
PLatt	24	2048	3	0.024152000
PLff	24	2048	3	0.047596000
PLc0	24	2048	-	0.026817000
PLchk	24	2048	-	wall=0.3590s stepsum=0.3590s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	2048	0	0.061863000
PLff	32	2048	0	0.048312000
PLatt	32	2048	1	0.059524000
PLff	32	2048	1	0.049636000
PLatt	32	2048	2	0.031087000
PLff	32	2048	2	0.049210000
PLatt	32	2048	3	0.030936000
PLff	32	2048	3	0.053138000
PLc0	32	2048	-	0.028034000
PLchk	32	2048	-	wall=0.4591s stepsum=0.4591s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	2048	0	0.082759000
PLff	48	2048	0	0.073292000
PLatt	48	2048	1	0.066237000
PLff	48	2048	1	0.075594000
PLatt	48	2048	2	0.048370000
PLff	48	2048	2	0.072960000
PLatt	48	2048	3	0.046446000
PLff	48	2048	3	0.077119000
PLc0	48	2048	-	0.027618000
PLchk	48	2048	-	wall=0.5702s stepsum=0.5702s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	2048	0	0.095738000
PLff	64	2048	0	0.101057000
PLatt	64	2048	1	0.061918000
PLff	64	2048	1	0.097593000
PLatt	64	2048	2	0.062860000
PLff	64	2048	2	0.099653000
PLatt	64	2048	3	0.061829000
PLff	64	2048	3	0.096506000
PLc0	64	2048	-	0.028231000
PLchk	64	2048	-	wall=0.7089s stepsum=0.7089s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	2048	0	0.171069000
PLff	96	2048	0	0.152087000
PLatt	96	2048	1	0.132748000
PLff	96	2048	1	0.151871000
PLatt	96	2048	2	0.095327000
PLff	96	2048	2	0.156043000
PLatt	96	2048	3	0.099746000
PLff	96	2048	3	0.153720000
PLc0	96	2048	-	0.028728000
PLchk	96	2048	-	wall=1.1526s stepsum=1.1526s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	2048	0	0.214772000
PLff	128	2048	0	0.198428000
PLatt	128	2048	1	0.121577000
PLff	128	2048	1	0.190775000
PLatt	128	2048	2	0.123584000
PLff	128	2048	2	0.193436000
PLatt	128	2048	3	0.122766000
PLff	128	2048	3	0.201718000
PLc0	128	2048	-	0.032033000
PLchk	128	2048	-	wall=1.4012s stepsum=1.4011s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	4096	0	0.016319000
PLff	4	4096	0	0.010714000
PLatt	4	4096	1	0.011624000
PLff	4	4096	1	0.010597000
PLatt	4	4096	2	0.008928000
PLff	4	4096	2	0.010805000
PLatt	4	4096	3	0.009052000
PLff	4	4096	3	0.011059000
PLc0	4	4096	-	0.026811000
PLchk	4	4096	-	wall=0.1165s stepsum=0.1165s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	4096	0	0.028917000
PLff	8	4096	0	0.022354000
PLatt	8	4096	1	0.021465000
PLff	8	4096	1	0.022678000
PLatt	8	4096	2	0.015917000
PLff	8	4096	2	0.021755000
PLatt	8	4096	3	0.016523000
PLff	8	4096	3	0.021621000
PLc0	8	4096	-	0.026413000
PLchk	8	4096	-	wall=0.2030s stepsum=0.2030s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	4096	0	0.071839000
PLff	16	4096	0	0.023401000
PLatt	16	4096	1	0.063452000
PLff	16	4096	1	0.022920000
PLatt	16	4096	2	0.055197000
PLff	16	4096	2	0.022643000
PLatt	16	4096	3	0.055099000
PLff	16	4096	3	0.024278000
PLc0	16	4096	-	0.026668000
PLchk	16	4096	-	wall=0.3679s stepsum=0.3679s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	4096	0	0.077447000
PLff	24	4096	0	0.049285000
PLatt	24	4096	1	0.057335000
PLff	24	4096	1	0.048467000
PLatt	24	4096	2	0.039939000
PLff	24	4096	2	0.045424000
PLatt	24	4096	3	0.039404000
PLff	24	4096	3	0.046764000
PLc0	24	4096	-	0.028103000
PLchk	24	4096	-	wall=0.4340s stepsum=0.4340s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	4096	0	0.102793000
PLff	32	4096	0	0.048073000
PLatt	32	4096	1	0.051815000
PLff	32	4096	1	0.049553000
PLatt	32	4096	2	0.050533000
PLff	32	4096	2	0.049139000
PLatt	32	4096	3	0.050325000
PLff	32	4096	3	0.049385000
PLc0	32	4096	-	0.026849000
PLchk	32	4096	-	wall=0.4794s stepsum=0.4794s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	4096	0	0.159496000
PLff	48	4096	0	0.072549000
PLatt	48	4096	1	0.078814000
PLff	48	4096	1	0.074530000
PLatt	48	4096	2	0.078695000
PLff	48	4096	2	0.075490000
PLatt	48	4096	3	0.078042000
PLff	48	4096	3	0.068860000
PLc0	48	4096	-	0.027519000
PLchk	48	4096	-	wall=0.7131s stepsum=0.7130s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	4096	0	0.351653000
PLff	64	4096	0	0.100754000
PLatt	64	4096	1	0.217096000
PLff	64	4096	1	0.103501000
PLatt	64	4096	2	0.165338000
PLff	64	4096	2	0.100353000
PLatt	64	4096	3	0.165065000
PLff	64	4096	3	0.098561000
PLc0	64	4096	-	0.028079000
PLchk	64	4096	-	wall=1.3268s stepsum=1.3268s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	4096	0	0.303104000
PLff	96	4096	0	0.152301000
PLatt	96	4096	1	0.300534000
PLff	96	4096	1	0.151543000
PLatt	96	4096	2	0.296072000
PLff	96	4096	2	0.145056000
PLatt	96	4096	3	0.298534000
PLff	96	4096	3	0.149886000
PLc0	96	4096	-	0.029534000
PLchk	96	4096	-	wall=1.8407s stepsum=1.8406s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	4096	0	0.398773000
PLff	128	4096	0	0.187658000
PLatt	128	4096	1	0.380170000
PLff	128	4096	1	0.196392000
PLatt	128	4096	2	0.211170000
PLff	128	4096	2	0.195153000
PLatt	128	4096	3	0.205680000
PLff	128	4096	3	0.186896000
PLc0	128	4096	-	0.029139000
PLchk	128	4096	-	wall=1.9997s stepsum=1.9997s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	8192	0	0.017877000
PLff	4	8192	0	0.010972000
PLatt	4	8192	1	0.014437000
PLff	4	8192	1	0.010740000
PLatt	4	8192	2	0.014854000
PLff	4	8192	2	0.010590000
PLatt	4	8192	3	0.014453000
PLff	4	8192	3	0.010658000
PLc0	4	8192	-	0.026175000
PLchk	4	8192	-	wall=0.1320s stepsum=0.1319s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	8192	0	0.051587000
PLff	8	8192	0	0.021425000
PLatt	8	8192	1	0.027078000
PLff	8	8192	1	0.021270000
PLatt	8	8192	2	0.025612000
PLff	8	8192	2	0.022565000
PLatt	8	8192	3	0.028249000
PLff	8	8192	3	0.021799000
PLc0	8	8192	-	0.026603000
PLchk	8	8192	-	wall=0.2481s stepsum=0.2481s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	8192	0	0.092911000
PLff	16	8192	0	0.023708000
PLatt	16	8192	1	0.046046000
PLff	16	8192	1	0.023446000
PLatt	16	8192	2	0.048607000
PLff	16	8192	2	0.021484000
PLatt	16	8192	3	0.046137000
PLff	16	8192	3	0.024127000
PLc0	16	8192	-	0.027166000
